Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (km),Apogee (km),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Satellite Status,Risk Cluster
Starlink-2641,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-04,4.0,Inactive (Archaeology),High Risk
Starlink-2642,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2643,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-04,4.0,Inactive (Archaeology),High Risk
Starlink-2644,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2645,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2646,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2647,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2648,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2649,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2651,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2652,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2653,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
Starlink-2654,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2655,USA,Commercial,Communications,LEO,260.0,280.0,260.0,2021-05-09,4.0,Inactive (Archaeology),High Risk
Starlink-2657,USA,Commercial,Communications,LEO,258.0,280.0,260.0,2021-05-26,4.0,Inactive (Archaeology),High Risk
